pickup_zone,avg_trip_distance,bkt_total_amount,val_start,val_end
91,17.76,34,279.6353252451642,316.04812892884550
171,17.738421052631576,29,97.5713068267577,133.98411051043900
30,17.67963855421687,28,61.1585031430764,97.57130682675770
52,17.665555555555557,28,61.1585031430764,97.57130682675770
259,17.645714285714284,29,97.5713068267577,133.98411051043900
235,17.624134615384612,29,97.5713068267577,133.98411051043900
227,17.608333333333334,30,133.9841105104390,170.39691419412030
92,17.596666666666668,29,97.5713068267577,133.98411051043900
73,17.555,28,61.1585031430764,97.57130682675770
97,17.505,28,61.1585031430764,97.57130682675770
212,17.505,30,133.9841105104390,170.39691419412030
163,17.5,28,61.1585031430764,97.57130682675770
131,17.5,46,716.5889694493398,753.00177313302110
248,17.49251700680273,29,97.5713068267577,133.98411051043900
129,17.483333333333334,28,61.1585031430764,97.57130682675770
35,17.48090909090909,28,61.1585031430764,97.57130682675770
215,17.42,30,133.9841105104390,170.39691419412030
1,17.42,30,133.9841105104390,170.39691419412030
34,17.395714285714284,28,61.1585031430764,97.57130682675770
51,17.322241379310345,28,61.1585031430764,97.57130682675770
-1,17.3,109,3010.5956015212617,3047.00840520494300
39,17.253772893772894,28,61.1585031430764,97.57130682675770
239,17.172212020033392,28,61.1585031430764,97.57130682675770
85,17.081425452276992,28,61.1585031430764,97.57130682675770
221,17.011884057971017,28,61.1585031430764,97.57130682675770
75,16.97178217821782,29,97.5713068267577,133.98411051043900
96,16.955192307692307,28,61.1585031430764,97.57130682675770
44,16.93,28,61.1585031430764,97.57130682675770
115,16.9,28,61.1585031430764,97.57130682675770
137,16.881666666666664,35,316.0481289288455,352.46093261252680
93,16.87,28,61.1585031430764,97.57130682675770
62,16.7,28,61.1585031430764,97.57130682675770
119,16.7,28,61.1585031430764,97.57130682675770
178,16.7,37,388.8737362962081,425.28653997988940
23,16.622,28,61.1585031430764,97.57130682675770
91,16.599999999999998,31,170.3969141941203,206.80971787780160
161,16.595,30,133.9841105104390,170.39691419412030
79,16.5,30,133.9841105104390,170.39691419412030
155,16.482,28,61.1585031430764,97.57130682675770
180,16.47,29,97.5713068267577,133.98411051043900
257,16.445,28,61.1585031430764,97.57130682675770
245,16.43857142857143,29,97.5713068267577,133.98411051043900
226,16.415789473684214,29,97.5713068267577,133.98411051043900
180,16.413846153846155,28,61.1585031430764,97.57130682675770
92,16.408333333333335,30,133.9841105104390,170.39691419412030
228,16.4028125,28,61.1585031430764,97.57130682675770
253,16.356315789473683,29,97.5713068267577,133.98411051043900
95,16.35,28,61.1585031430764,97.57130682675770
89,16.3,28,61.1585031430764,97.57130682675770
118,16.288,28,61.1585031430764,97.57130682675770
162,16.25,28,61.1585031430764,97.57130682675770
239,16.235,39,461.6993436635707,498.11214734725200
65,16.216666666666665,29,97.5713068267577,133.98411051043900
88,16.205714285714286,28,61.1585031430764,97.57130682675770
239,16.18166666666667,31,170.3969141941203,206.80971787780160
68,16.176451612903225,28,61.1585031430764,97.57130682675770
248,16.15565737051793,28,61.1585031430764,97.57130682675770
32,16.13,31,170.3969141941203,206.80971787780160
235,16.10070680628272,28,61.1585031430764,97.57130682675770
22,16.09390243902439,28,61.1585031430764,97.57130682675770
21,16.06,29,97.5713068267577,133.98411051043900
96,16.056,29,97.5713068267577,133.98411051043900
259,16.054,28,61.1585031430764,97.57130682675770
229,15.99293196362411,28,61.1585031430764,97.57130682675770
193,15.938571428571427,28,61.1585031430764,97.57130682675770
154,15.935662164343794,28,61.1585031430764,97.57130682675770
158,15.932500000000001,28,61.1585031430764,97.57130682675770
215,15.929999999999998,29,97.5713068267577,133.98411051043900
172,15.912500000000001,29,97.5713068267577,133.98411051043900
14,15.9,28,61.1585031430764,97.57130682675770
228,15.866666666666667,29,97.5713068267577,133.98411051043900
141,15.8436,28,61.1585031430764,97.57130682675770
74,15.813809523809525,28,61.1585031430764,97.57130682675770
191,15.811111111111112,28,61.1585031430764,97.57130682675770
133,15.799999999999999,29,97.5713068267577,133.98411051043900
68,15.765,29,97.5713068267577,133.98411051043900
117,15.76268514928266,28,61.1585031430764,97.57130682675770
87,15.758822975517889,28,61.1585031430764,97.57130682675770
45,15.754093567251466,28,61.1585031430764,97.57130682675770
143,15.738181818181818,29,97.5713068267577,133.98411051043900
161,15.721666666666664,31,170.3969141941203,206.80971787780160
127,15.718333333333334,28,61.1585031430764,97.57130682675770
55,15.632105263157895,28,61.1585031430764,97.57130682675770
75,15.62172340425532,28,61.1585031430764,97.57130682675770
86,15.620000000000001,29,97.5713068267577,133.98411051043900
106,15.598106469002692,28,61.1585031430764,97.57130682675770
41,15.587799502899756,28,61.1585031430764,97.57130682675770
86,15.4704,28,61.1585031430764,97.57130682675770
256,15.440000000000001,28,61.1585031430764,97.57130682675770
87,15.430000000000001,31,170.3969141941203,206.80971787780160
83,15.42,29,97.5713068267577,133.98411051043900
114,15.353536977491954,28,61.1585031430764,97.57130682675770
192,15.290000000000001,28,61.1585031430764,97.57130682675770
248,15.275971287456503,26,-11.6671042242862,24.74569945939510
157,15.273648960739031,28,61.1585031430764,97.57130682675770
226,15.241980440097796,28,61.1585031430764,97.57130682675770
171,15.204406779661024,28,61.1585031430764,97.57130682675770
219,15.197665816326527,28,61.1585031430764,97.57130682675770
43,15.1870616113744,28,61.1585031430764,97.57130682675770
136,15.180935397039034,28,61.1585031430764,97.57130682675770
188,15.157999999999998,28,61.1585031430764,97.57130682675770
131,15.105023635690719,27,24.7456994593951,61.15850314307640
75,15.100625,30,133.9841105104390,170.39691419412030
127,15.05,32,206.8097178778016,243.22252156148290
215,14.891041162227598,28,61.1585031430764,97.57130682675770
145,14.73,30,133.9841105104390,170.39691419412030
24,14.7,28,61.1585031430764,97.57130682675770
61,14.7,30,133.9841105104390,170.39691419412030
20,14.6225,28,61.1585031430764,97.57130682675770
122,14.546666666666669,28,61.1585031430764,97.57130682675770
212,14.535833333333331,28,61.1585031430764,97.57130682675770
137,14.52882444682716,28,61.1585031430764,97.57130682675770
171,14.445,30,133.9841105104390,170.39691419412030
164,14.419667979741124,28,61.1585031430764,97.57130682675770
172,14.357198275862073,28,61.1585031430764,97.57130682675770
145,14.313842264914058,28,61.1585031430764,97.57130682675770
128,14.26808100289296,28,61.1585031430764,97.57130682675770
50,14.2,29,97.5713068267577,133.98411051043900
79,14.11,29,97.5713068267577,133.98411051043900
236,13.822333333333335,28,61.1585031430764,97.57130682675770
71,13.799545454545456,28,61.1585031430764,97.57130682675770
62,13.795,27,24.7456994593951,61.15850314307640
243,13.776666666666666,28,61.1585031430764,97.57130682675770
72,13.730557823129248,28,61.1585031430764,97.57130682675770
143,13.661999999999999,30,133.9841105104390,170.39691419412030
25,13.656666666666666,29,97.5713068267577,133.98411051043900
46,13.596666666666666,28,61.1585031430764,97.57130682675770
70,13.557304687499999,28,61.1585031430764,97.57130682675770
219,13.552169491525419,27,24.7456994593951,61.15850314307640
54,13.5,31,170.3969141941203,206.80971787780160
170,13.48,28,61.1585031430764,97.57130682675770
183,13.46,29,97.5713068267577,133.98411051043900
90,13.4325,27,24.7456994593951,61.15850314307640
-1,13.4,56,1080.7170062861528,1117.12980996983410
116,13.317362068965513,28,61.1585031430764,97.57130682675770
130,13.3,28,61.1585031430764,97.57130682675770
66,13.3,27,24.7456994593951,61.15850314307640
77,13.274999999999999,28,61.1585031430764,97.57130682675770
253,13.27369863013699,28,61.1585031430764,97.57130682675770
34,13.2,29,97.5713068267577,133.98411051043900
258,13.15,28,61.1585031430764,97.57130682675770
177,13.129999999999999,27,24.7456994593951,61.15850314307640
156,13.026,28,61.1585031430764,97.57130682675770
128,12.969549436795997,27,24.7456994593951,61.15850314307640
230,12.838888888888889,27,24.7456994593951,61.15850314307640
245,12.765376344086022,28,61.1585031430764,97.57130682675770
61,12.75206896551724,28,61.1585031430764,97.57130682675770
78,12.748571428571429,28,61.1585031430764,97.57130682675770
31,12.728666666666667,28,61.1585031430764,97.57130682675770
213,12.713333333333333,28,61.1585031430764,97.57130682675770
49,12.666363636363634,28,61.1585031430764,97.57130682675770
197,12.648421052631578,28,61.1585031430764,97.57130682675770
72,12.586666666666668,31,170.3969141941203,206.80971787780160
