pickup_zone,avg_tip_amount,bkt_passenger_count,val_start,val_end
75,1.630696690982132,2,2.649781677329658,3.9746725159944870
212,1.6302307692307692,0,0E-15,1.3248908386648290
87,1.6295116558706004,1,1.324890838664829,2.6497816773296580
248,1.6208310842990938,4,5.299563354659316,6.6244541933241450
215,1.6183361823361797,3,3.974672515994487,5.2995633546593160
49,1.6167096536477523,0,0E-15,1.3248908386648290
171,1.6157976849521904,3,3.974672515994487,5.2995633546593160
141,1.612409017713366,1,1.324890838664829,2.6497816773296580
172,1.6104676258992803,3,3.974672515994487,5.2995633546593160
164,1.6100616038236855,4,5.299563354659316,6.6244541933241450
226,1.609809637120762,1,1.324890838664829,2.6497816773296580
97,1.609375,0,0E-15,1.3248908386648290
248,1.6075067922797326,3,3.974672515994487,5.2995633546593160
171,1.6059717964438989,2,2.649781677329658,3.9746725159944870
164,1.6048956693912724,3,3.974672515994487,5.2995633546593160
192,1.6036444444444444,0,0E-15,1.3248908386648290
163,1.6019999999999999,4,5.299563354659316,6.6244541933241450
198,1.5980487804878047,1,1.324890838664829,2.6497816773296580
106,1.5975301277054998,1,1.324890838664829,2.6497816773296580
206,1.5943478260869564,2,2.649781677329658,3.9746725159944870
95,1.594,1,1.324890838664829,2.6497816773296580
43,1.5916967237751711,1,1.324890838664829,2.6497816773296580
154,1.5912142405238041,0,0E-15,1.3248908386648290
96,1.5902443729903541,1,1.324890838664829,2.6497816773296580
243,1.589442060085837,0,0E-15,1.3248908386648290
206,1.5852380952380951,4,5.299563354659316,6.6244541933241450
248,1.5851582221690463,2,2.649781677329658,3.9746725159944870
157,1.5831913801949715,2,2.649781677329658,3.9746725159944870
114,1.5806834877036084,1,1.324890838664829,2.6497816773296580
106,1.5791300469654823,0,0E-15,1.3248908386648290
52,1.57375,2,2.649781677329658,3.9746725159944870
106,1.5721731123388607,4,5.299563354659316,6.6244541933241450
132,1.5721462829736212,0,0E-15,1.3248908386648290
45,1.5703719912472647,3,3.974672515994487,5.2995633546593160
226,1.5696149358226377,4,5.299563354659316,6.6244541933241450
229,1.5688623018203165,4,5.299563354659316,6.6244541933241450
87,1.5685007626933969,3,3.974672515994487,5.2995633546593160
