pickup_zone,avg_trip_distance,bkt_tip_amount,val_start,val_end
240,18.06353049907579,90,15.3191303566918260,17.94267624954395740
172,18.04,99,38.9310433923610086,41.55458928521314000
227,18.04,99,38.9310433923610086,41.55458928521314000
23,18.0,88,10.0720385709875632,12.69558446383969460
240,18.0,112,73.0371399994387168,75.66068589229084820
129,17.99,88,10.0720385709875632,12.69558446383969460
87,17.973333333333336,93,23.1897680352482202,25.81331392810035160
186,17.9725,88,10.0720385709875632,12.69558446383969460
154,17.954642857142858,97,33.6839516066567458,36.30749749950887720
164,17.95,122,99.2725989279600308,101.89614482081216220
243,17.94,88,10.0720385709875632,12.69558446383969460
70,17.9,110,67.7900482137344540,70.41359410658658540
52,17.895,90,15.3191303566918260,17.94267624954395740
39,17.852,92,20.5662221423960888,23.18976803524822020
51,17.80411764705882,89,12.6955844638396946,15.31913035669182600
105,17.8,90,15.3191303566918260,17.94267624954395740
91,17.76,106,57.2958646423259284,59.91941053517805980
41,17.758999999999997,100,41.5545892852131400,44.17813517806527140
183,17.73,90,15.3191303566918260,17.94267624954395740
20,17.713333333333335,88,10.0720385709875632,12.69558446383969460
94,17.7,95,28.4368598209524830,31.06040571380461440
154,17.67,113,75.6606858922908482,78.28423178514297960
239,17.625700712589072,90,15.3191303566918260,17.94267624954395740
154,17.6,108,62.5429564280301912,65.16650232088232260
137,17.583746898263026,91,17.9426762495439574,20.56622214239608880
50,17.54,89,12.6955844638396946,15.31913035669182600
201,17.525,88,10.0720385709875632,12.69558446383969460
56,17.5,88,10.0720385709875632,12.69558446383969460
68,17.5,106,57.2958646423259284,59.91941053517805980
210,17.5,89,12.6955844638396946,15.31913035669182600
163,17.5,88,10.0720385709875632,12.69558446383969460
257,17.47,89,12.6955844638396946,15.31913035669182600
142,17.46,90,15.3191303566918260,17.94267624954395740
154,17.456309012875536,93,23.1897680352482202,25.81331392810035160
206,17.44,90,15.3191303566918260,17.94267624954395740
172,17.43,93,23.1897680352482202,25.81331392810035160
1,17.42,93,23.1897680352482202,25.81331392810035160
157,17.387777777777778,92,20.5662221423960888,23.18976803524822020
154,17.38091463414634,92,20.5662221423960888,23.18976803524822020
45,17.34875,91,17.9426762495439574,20.56622214239608880
229,17.31120879120879,92,20.5662221423960888,23.18976803524822020
8,17.31026970954357,88,10.0720385709875632,12.69558446383969460
90,17.3,86,4.8249467852833004,7.44849267813543180
164,17.3,101,44.1781351780652714,46.80168107091740280
90,17.3,88,10.0720385709875632,12.69558446383969460
145,17.3,107,59.9194105351780598,62.54295642803019120
191,17.27,90,15.3191303566918260,17.94267624954395740
164,17.202499999999997,93,23.1897680352482202,25.81331392810035160
8,17.201536643026007,89,12.6955844638396946,15.31913035669182600
22,17.200000000000003,90,15.3191303566918260,17.94267624954395740
-1,17.15,152,177.9789757135239728,180.60252160637610420
31,17.0,104,52.0487728566216656,54.67231874947379700
43,17.0,93,23.1897680352482202,25.81331392810035160
70,17.0,107,59.9194105351780598,62.54295642803019120
127,16.985,89,12.6955844638396946,15.31913035669182600
92,16.97,96,31.0604057138046144,33.68395160665674580
221,16.9675,90,15.3191303566918260,17.94267624954395740
30,16.96238095238095,89,12.6955844638396946,15.31913035669182600
188,16.94,91,17.9426762495439574,20.56622214239608880
44,16.93,90,15.3191303566918260,17.94267624954395740
96,16.92888888888889,90,15.3191303566918260,17.94267624954395740
31,16.9,101,44.1781351780652714,46.80168107091740280
193,16.86,90,15.3191303566918260,17.94267624954395740
70,16.838148148148147,92,20.5662221423960888,23.18976803524822020
219,16.82,97,33.6839516066567458,36.30749749950887720
151,16.8,89,12.6955844638396946,15.31913035669182600
136,16.8,102,46.8016810709174028,49.42522696376953420
239,16.73272727272727,93,23.1897680352482202,25.81331392810035160
62,16.7,90,15.3191303566918260,17.94267624954395740
106,16.69396551724138,90,15.3191303566918260,17.94267624954395740
154,16.67430903155605,90,15.3191303566918260,17.94267624954395740
74,16.67,91,17.9426762495439574,20.56622214239608880
8,16.659731543624158,90,15.3191303566918260,17.94267624954395740
154,16.658795180722894,95,28.4368598209524830,31.06040571380461440
226,16.650000000000002,93,23.1897680352482202,25.81331392810035160
128,16.643333333333334,105,54.6723187494737970,57.29586464232592840
85,16.638148148148147,93,23.1897680352482202,25.81331392810035160
61,16.6,105,54.6723187494737970,57.29586464232592840
221,16.575588235294116,88,10.0720385709875632,12.69558446383969460
157,16.572631578947366,90,15.3191303566918260,17.94267624954395740
41,16.571447368421055,93,23.1897680352482202,25.81331392810035160
39,16.517619047619046,90,15.3191303566918260,17.94267624954395740
79,16.5,93,23.1897680352482202,25.81331392810035160
135,16.5,88,10.0720385709875632,12.69558446383969460
131,16.463572347973507,87,7.4484926781354318,10.07203857098756320
114,16.446666666666665,97,33.6839516066567458,36.30749749950887720
86,16.42,96,31.0604057138046144,33.68395160665674580
235,16.41878205128205,90,15.3191303566918260,17.94267624954395740
131,16.4,116,83.5313235708472424,86.15486946369937380
85,16.398546099290776,90,15.3191303566918260,17.94267624954395740
41,16.379090909090912,92,20.5662221423960888,23.18976803524822020
114,16.333333333333332,96,31.0604057138046144,33.68395160665674580
74,16.304000000000002,88,10.0720385709875632,12.69558446383969460
223,16.3,87,7.4484926781354318,10.07203857098756320
240,16.275025329280652,89,12.6955844638396946,15.31913035669182600
106,16.25375,93,23.1897680352482202,25.81331392810035160
229,16.25021739130435,93,23.1897680352482202,25.81331392810035160
248,16.233125,90,15.3191303566918260,17.94267624954395740
117,16.226753246753248,92,20.5662221423960888,23.18976803524822020
85,16.201298145506417,88,10.0720385709875632,12.69558446383969460
30,16.186545454545456,88,10.0720385709875632,12.69558446383969460
37,16.18,88,10.0720385709875632,12.69558446383969460
85,16.164958448753467,89,12.6955844638396946,15.31913035669182600
41,16.142,97,33.6839516066567458,36.30749749950887720
119,16.14,88,10.0720385709875632,12.69558446383969460
131,16.13,126,109.7667824993685564,112.39032839222068780
32,16.13,143,154.3670626778547902,156.99060857070692160
137,16.1,130,120.2609660707770820,122.88451196362921340
136,16.0925,97,33.6839516066567458,36.30749749950887720
229,16.088291457286438,90,15.3191303566918260,17.94267624954395740
240,16.078799999999998,94,25.8133139281003516,28.43685982095248300
39,16.076631016042786,89,12.6955844638396946,15.31913035669182600
21,16.06,109,65.1665023208823226,67.79004821373445400
154,16.03106842737095,91,17.9426762495439574,20.56622214239608880
131,16.02,108,62.5429564280301912,65.16650232088232260
117,16.004545454545454,94,25.8133139281003516,28.43685982095248300
