pickup_zone,avg_passenger_count,bkt_tip_amount,val_start,val_end
68,2.0,95,28.4368598209524830,31.06040571380461440
180,2.0,89,12.6955844638396946,15.31913035669182600
116,2.0,104,52.0487728566216656,54.67231874947379700
86,2.0,95,28.4368598209524830,31.06040571380461440
251,2.0,95,28.4368598209524830,31.06040571380461440
239,2.0,464,996.5252942833889696,999.14884017624110100
56,2.0,90,15.3191303566918260,17.94267624954395740
94,2.0,103,49.4252269637695342,52.04877285662166560
255,2.0,91,17.9426762495439574,20.56622214239608880
30,2.0,94,25.8133139281003516,28.43685982095248300
227,2.0,94,25.8133139281003516,28.43685982095248300
198,2.0,89,12.6955844638396946,15.31913035669182600
43,2.0,103,49.4252269637695342,52.04877285662166560
91,2.0,119,91.4019612494036366,94.02550714225576800
155,2.0,99,38.9310433923610086,41.55458928521314000
96,2.0,106,57.2958646423259284,59.91941053517805980
154,2.0,108,62.5429564280301912,65.16650232088232260
106,2.0,116,83.5313235708472424,86.15486946369937380
245,2.0,94,25.8133139281003516,28.43685982095248300
256,2.0,99,38.9310433923610086,41.55458928521314000
82,2.0,103,49.4252269637695342,52.04877285662166560
95,2.0,88,10.0720385709875632,12.69558446383969460
229,2.0,126,109.7667824993685564,112.39032839222068780
178,2.0,127,112.3903283922206878,115.01387428507281920
41,2.0,117,86.1548694636993738,88.77841535655150520
239,2.0,113,75.6606858922908482,78.28423178514297960
-1,2.0,142,151.7435167850026588,154.36706267785479020
239,2.0,145,159.6141544635590530,162.23770035641118440
39,2.0,96,31.0604057138046144,33.68395160665674580
47,2.0,94,25.8133139281003516,28.43685982095248300
127,2.0,95,28.4368598209524830,31.06040571380461440
82,2.0,120,94.0255071422557680,96.64905303510789940
106,2.0,83,-3.0456908932730938,-0.42214500042096240
91,2.0,92,20.5662221423960888,23.18976803524822020
41,2.0,160,198.9673428563410240,201.59088874919315540
134,2.0,88,10.0720385709875632,12.69558446383969460
7,2.0,89,12.6955844638396946,15.31913035669182600
245,2.0,92,20.5662221423960888,23.18976803524822020
177,2.0,85,2.2014008924311690,4.82494678528330040
157,2.0,99,38.9310433923610086,41.55458928521314000
39,2.0,97,33.6839516066567458,36.30749749950887720
5,2.0,119,91.4019612494036366,94.02550714225576800
8,2.0,95,28.4368598209524830,31.06040571380461440
49,2.0,92,20.5662221423960888,23.18976803524822020
144,2.0,91,17.9426762495439574,20.56622214239608880
119,2.0,89,12.6955844638396946,15.31913035669182600
99,2.0,88,10.0720385709875632,12.69558446383969460
22,2.0,96,31.0604057138046144,33.68395160665674580
161,2.0,91,17.9426762495439574,20.56622214239608880
164,2.0,110,67.7900482137344540,70.41359410658658540
117,2.0,114,78.2842317851429796,80.90777767799511100
196,2.0,112,73.0371399994387168,75.66068589229084820
76,2.0,84,-0.4221450004209624,2.20140089243116900
34,2.0,94,25.8133139281003516,28.43685982095248300
223,2.0,85,2.2014008924311690,4.82494678528330040
117,2.0,161,201.5908887491931554,204.21443464204528680
113,2.0,97,33.6839516066567458,36.30749749950887720
58,2.0,88,10.0720385709875632,12.69558446383969460
259,2.0,90,15.3191303566918260,17.94267624954395740
131,2.0,114,78.2842317851429796,80.90777767799511100
70,2.0,102,46.8016810709174028,49.42522696376953420
253,2.0,97,33.6839516066567458,36.30749749950887720
9,2.0,87,7.4484926781354318,10.07203857098756320
26,2.0,85,2.2014008924311690,4.82494678528330040
41,2.0,111,70.4135941065865854,73.03713999943871680
5,2.0,113,75.6606858922908482,78.28423178514297960
-1,2.0,134,130.7551496421856076,133.37869553503773900
212,2.0,89,12.6955844638396946,15.31913035669182600
239,2.0,114,78.2842317851429796,80.90777767799511100
13,2.0,95,28.4368598209524830,31.06040571380461440
96,2.0,97,33.6839516066567458,36.30749749950887720
248,2.0,253,442.9571108915892442,445.58065678444137560
56,2.0,92,20.5662221423960888,23.18976803524822020
125,2.0,86,4.8249467852833004,7.44849267813543180
-1,2.0,59,-66.0107923217242474,-63.38724642887211600
123,2.0,84,-0.4221450004209624,2.20140089243116900
122,2.0,99,38.9310433923610086,41.55458928521314000
23,2.0,91,17.9426762495439574,20.56622214239608880
193,2.0,88,10.0720385709875632,12.69558446383969460
5,2.0,112,73.0371399994387168,75.66068589229084820
-1,2.0,122,99.2725989279600308,101.89614482081216220
45,2.0,95,28.4368598209524830,31.06040571380461440
164,2.0,180,251.4382607133836520,254.06180660623578340
219,2.0,105,54.6723187494737970,57.29586464232592840
227,2.0,99,38.9310433923610086,41.55458928521314000
131,2.0,132,125.5080578564813448,128.13160374933347620
215,2.0,119,91.4019612494036366,94.02550714225576800
122,2.0,106,57.2958646423259284,59.91941053517805980
253,2.0,110,67.7900482137344540,70.41359410658658540
5,2.0,148,167.4847921421154472,170.10833803496757860
29,2.0,87,7.4484926781354318,10.07203857098756320
41,2.0,123,101.8961448208121622,104.51969071366429360
226,2.0,93,23.1897680352482202,25.81331392810035160
43,2.0,95,28.4368598209524830,31.06040571380461440
55,2.0,91,17.9426762495439574,20.56622214239608880
219,2.0,121,96.6490530351078994,99.27259892796003080
92,2.0,105,54.6723187494737970,57.29586464232592840
19,2.0,91,17.9426762495439574,20.56622214239608880
-1,2.0,163,206.8379805348974182,209.46152642774954960
259,2.0,101,44.1781351780652714,46.80168107091740280
144,2.0,86,4.8249467852833004,7.44849267813543180
245,2.0,99,38.9310433923610086,41.55458928521314000
174,2.0,90,15.3191303566918260,17.94267624954395740
145,2.0,107,59.9194105351780598,62.54295642803019120
25,2.0,93,23.1897680352482202,25.81331392810035160
8,2.0,100,41.5545892852131400,44.17813517806527140
208,2.0,89,12.6955844638396946,15.31913035669182600
41,2.0,139,143.8728791064462646,146.49642499929839600
61,2.0,94,25.8133139281003516,28.43685982095248300
31,2.0,118,88.7784153565515052,91.40196124940363660
195,2.0,84,-0.4221450004209624,2.20140089243116900
154,2.0,129,117.6374201779249506,120.26096607077708200
154,2.0,161,201.5908887491931554,204.21443464204528680
8,2.0,104,52.0487728566216656,54.67231874947379700
70,2.0,149,170.1083380349675786,172.73188392781971000
183,2.0,102,46.8016810709174028,49.42522696376953420
78,2.0,99,38.9310433923610086,41.55458928521314000
199,2.0,103,49.4252269637695342,52.04877285662166560
30,2.0,89,12.6955844638396946,15.31913035669182600
117,2.0,124,104.5196907136642936,107.14323660651642500
31,2.0,89,12.6955844638396946,15.31913035669182600
96,2.0,103,49.4252269637695342,52.04877285662166560
88,2.0,110,67.7900482137344540,70.41359410658658540
245,2.0,96,31.0604057138046144,33.68395160665674580
72,2.0,112,73.0371399994387168,75.66068589229084820
206,2.0,91,17.9426762495439574,20.56622214239608880
70,2.0,101,44.1781351780652714,46.80168107091740280
86,2.0,104,52.0487728566216656,54.67231874947379700
64,2.0,89,12.6955844638396946,15.31913035669182600
137,2.0,128,115.0138742850728192,117.63742017792495060
240,2.0,111,70.4135941065865854,73.03713999943871680
193,2.0,94,25.8133139281003516,28.43685982095248300
71,2.0,120,94.0255071422557680,96.64905303510789940
199,2.0,99,38.9310433923610086,41.55458928521314000
181,2.0,87,7.4484926781354318,10.07203857098756320
86,2.0,97,33.6839516066567458,36.30749749950887720
75,2.0,83,-3.0456908932730938,-0.42214500042096240
87,2.0,96,31.0604057138046144,33.68395160665674580
145,2.0,100,41.5545892852131400,44.17813517806527140
248,2.0,110,67.7900482137344540,70.41359410658658540
157,2.0,168,219.9557099991580752,222.57925589201020660
131,2.0,160,198.9673428563410240,201.59088874919315540
240,2.0,106,57.2958646423259284,59.91941053517805980
4,2.0,85,2.2014008924311690,4.82494678528330040
238,2.0,90,15.3191303566918260,17.94267624954395740
31,2.0,103,49.4252269637695342,52.04877285662166560
16,2.0,87,7.4484926781354318,10.07203857098756320
163,2.0,85,2.2014008924311690,4.82494678528330040
82,2.0,282,519.0399417843010548,521.66348767715318620
212,2.0,103,49.4252269637695342,52.04877285662166560
137,2.0,114,78.2842317851429796,80.90777767799511100
68,2.0,255,448.2042026772935070,450.82774857014563840
181,2.0,91,17.9426762495439574,20.56622214239608880
-1,2.0,181,254.0618066062357834,256.68535249908791480
150,2.0,95,28.4368598209524830,31.06040571380461440
26,2.0,91,17.9426762495439574,20.56622214239608880
248,2.0,111,70.4135941065865854,73.03713999943871680
84,2.0,88,10.0720385709875632,12.69558446383969460
75,2.0,101,44.1781351780652714,46.80168107091740280
242,2.0,86,4.8249467852833004,7.44849267813543180
5,2.0,138,141.2493332135941332,143.87287910644626460
39,2.0,100,41.5545892852131400,44.17813517806527140
144,2.0,95,28.4368598209524830,31.06040571380461440
204,2.0,84,-0.4221450004209624,2.20140089243116900
4,2.0,86,4.8249467852833004,7.44849267813543180
74,2.0,94,25.8133139281003516,28.43685982095248300
46,2.0,85,2.2014008924311690,4.82494678528330040
221,2.0,96,31.0604057138046144,33.68395160665674580
113,2.0,128,115.0138742850728192,117.63742017792495060
71,2.0,101,44.1781351780652714,46.80168107091740280
64,1.9705882352941178,87,7.4484926781354318,10.07203857098756320
212,1.9655172413793103,85,2.2014008924311690,4.82494678528330040
165,1.9428571428571428,85,2.2014008924311690,4.82494678528330040
72,1.9411764705882353,89,12.6955844638396946,15.31913035669182600
249,1.9390243902439024,84,-0.4221450004209624,2.20140089243116900
97,1.9285714285714286,85,2.2014008924311690,4.82494678528330040
145,1.9230769230769231,92,20.5662221423960888,23.18976803524822020
36,1.9230769230769231,90,15.3191303566918260,17.94267624954395740
216,1.9230769230769231,85,2.2014008924311690,4.82494678528330040
113,1.9166666666666667,91,17.9426762495439574,20.56622214239608880
196,1.9142857142857144,87,7.4484926781354318,10.07203857098756320
229,1.9090909090909092,95,28.4368598209524830,31.06040571380461440
58,1.9090909090909092,85,2.2014008924311690,4.82494678528330040
172,1.9090909090909092,90,15.3191303566918260,17.94267624954395740
199,1.9047619047619047,89,12.6955844638396946,15.31913035669182600
145,1.9038461538461537,91,17.9426762495439574,20.56622214239608880
180,1.9,88,10.0720385709875632,12.69558446383969460
197,1.9,88,10.0720385709875632,12.69558446383969460
39,1.8936170212765957,91,17.9426762495439574,20.56622214239608880
92,1.8928571428571428,86,4.8249467852833004,7.44849267813543180
56,1.8928571428571428,85,2.2014008924311690,4.82494678528330040
-1,1.8888888888888888,108,62.5429564280301912,65.16650232088232260
53,1.8888888888888888,84,-0.4221450004209624,2.20140089243116900
8,1.88,91,17.9426762495439574,20.56622214239608880
26,1.8764044943820224,84,-0.4221450004209624,2.20140089243116900
239,1.875,95,28.4368598209524830,31.06040571380461440
144,1.875,85,2.2014008924311690,4.82494678528330040
226,1.875,90,15.3191303566918260,17.94267624954395740
0,1.875,84,-0.4221450004209624,2.20140089243116900
132,1.873015873015873,86,4.8249467852833004,7.44849267813543180
171,1.864864864864865,90,15.3191303566918260,17.94267624954395740
49,1.8604651162790697,87,7.4484926781354318,10.07203857098756320
141,1.8594507269789984,86,4.8249467852833004,7.44849267813543180
15,1.8571428571428572,91,17.9426762495439574,20.56622214239608880
97,1.8571428571428572,88,10.0720385709875632,12.69558446383969460
221,1.8571428571428572,85,2.2014008924311690,4.82494678528330040
197,1.8549618320610688,85,2.2014008924311690,4.82494678528330040
163,1.851063829787234,84,-0.4221450004209624,2.20140089243116900
245,1.8384615384615384,87,7.4484926781354318,10.07203857098756320
141,1.8333333333333333,90,15.3191303566918260,17.94267624954395740
93,1.8333333333333333,86,4.8249467852833004,7.44849267813543180
239,1.8333333333333333,100,41.5545892852131400,44.17813517806527140
208,1.8333333333333333,87,7.4484926781354318,10.07203857098756320
147,1.8333333333333333,85,2.2014008924311690,4.82494678528330040
109,1.8333333333333333,87,7.4484926781354318,10.07203857098756320
131,1.8333333333333333,110,67.7900482137344540,70.41359410658658540
106,1.8333333333333333,94,25.8133139281003516,28.43685982095248300
52,1.8333333333333333,85,2.2014008924311690,4.82494678528330040
99,1.8333333333333333,85,2.2014008924311690,4.82494678528330040
