pickup_zone,avg_total_amount,bkt_tip_amount,val_start,val_end
208,140.8,91,17.9426762495439574,20.56622214239608880
253,140.525,101,44.1781351780652714,46.80168107091740280
137,140.34,130,120.2609660707770820,122.88451196362921340
154,140.3,108,62.5429564280301912,65.16650232088232260
61,139.8,94,25.8133139281003516,28.43685982095248300
68,139.8,107,59.9194105351780598,62.54295642803019120
240,139.53666666666666,126,109.7667824993685564,112.39032839222068780
137,139.27179104477617,94,25.8133139281003516,28.43685982095248300
70,137.35214285714287,94,25.8133139281003516,28.43685982095248300
-1,137.2048275862069,93,23.1897680352482202,25.81331392810035160
208,136.82,93,23.1897680352482202,25.81331392810035160
13,136.61,92,20.5662221423960888,23.18976803524822020
106,136.57,122,99.2725989279600308,101.89614482081216220
137,136.27999999999997,98,36.3074974995088772,38.93104339236100860
10,136.01,92,20.5662221423960888,23.18976803524822020
251,135.84,91,17.9426762495439574,20.56622214239608880
41,135.84,133,128.1316037493334762,130.75514964218560760
219,135.35,92,20.5662221423960888,23.18976803524822020
154,135.3,130,120.2609660707770820,122.88451196362921340
33,135.292,91,17.9426762495439574,20.56622214239608880
131,134.92285714285714,108,62.5429564280301912,65.16650232088232260
82,134.84,103,49.4252269637695342,52.04877285662166560
113,133.615,93,23.1897680352482202,25.81331392810035160
41,133.502,100,41.5545892852131400,44.17813517806527140
-1,133.3,133,128.1316037493334762,130.75514964218560760
-1,133.05,131,122.8845119636292134,125.50805785648134480
-1,132.802,103,49.4252269637695342,52.04877285662166560
154,132.8,129,117.6374201779249506,120.26096607077708200
227,132.6525,93,23.1897680352482202,25.81331392810035160
239,132.6,109,65.1665023208823226,67.79004821373445400
248,132.59285714285716,94,25.8133139281003516,28.43685982095248300
78,131.84,99,38.9310433923610086,41.55458928521314000
6,131.81,92,20.5662221423960888,23.18976803524822020
85,131.745,98,36.3074974995088772,38.93104339236100860
239,131.55124999999998,101,44.1781351780652714,46.80168107091740280
-1,131.55,123,101.8961448208121622,104.51969071366429360
199,131.33,95,28.4368598209524830,31.06040571380461440
41,131.32666666666668,114,78.2842317851429796,80.90777767799511100
-1,131.3,134,130.7551496421856076,133.37869553503773900
137,130.92788079470202,93,23.1897680352482202,25.81331392810035160
128,130.88222222222223,93,23.1897680352482202,25.81331392810035160
118,130.84,91,17.9426762495439574,20.56622214239608880
164,130.8,129,117.6374201779249506,120.26096607077708200
51,130.66,92,20.5662221423960888,23.18976803524822020
91,130.61,92,20.5662221423960888,23.18976803524822020
13,130.35,95,28.4368598209524830,31.06040571380461440
91,130.335,94,25.8133139281003516,28.43685982095248300
127,129.95,92,20.5662221423960888,23.18976803524822020
137,129.90551724137933,99,38.9310433923610086,41.55458928521314000
143,129.845,96,31.0604057138046144,33.68395160665674580
155,129.46,92,20.5662221423960888,23.18976803524822020
229,129.39363636363635,95,28.4368598209524830,31.06040571380461440
128,129.30249999999998,92,20.5662221423960888,23.18976803524822020
137,129.205,110,67.7900482137344540,70.41359410658658540
150,129.085,92,20.5662221423960888,23.18976803524822020
196,129.08,97,33.6839516066567458,36.30749749950887720
58,129.05,92,20.5662221423960888,23.18976803524822020
-1,129.0,132,125.5080578564813448,128.13160374933347620
172,128.745,99,38.9310433923610086,41.55458928521314000
154,128.6012,96,31.0604057138046144,33.68395160665674580
41,128.50799999999998,122,99.2725989279600308,101.89614482081216220
136,128.25333333333333,100,41.5545892852131400,44.17813517806527140
137,127.8,116,83.5313235708472424,86.15486946369937380
113,127.8,128,115.0138742850728192,117.63742017792495060
49,127.56,92,20.5662221423960888,23.18976803524822020
137,127.44277777777776,101,44.1781351780652714,46.80168107091740280
219,127.277,91,17.9426762495439574,20.56622214239608880
221,127.2,91,17.9426762495439574,20.56622214239608880
106,127.09,129,117.6374201779249506,120.26096607077708200
79,126.8,122,99.2725989279600308,101.89614482081216220
